Author,Authority,Category,Compatibility,Content_rating,Description,Detail,Developer_address,Developer_email,Developer_website,Icon,Installs,Item_name,Link,Package,Price,Rating,Review_number,Score,Similar,Size,Update,Version
,"{'Camera': ['take pictures and videos'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Device & app history': ['retrieve running apps'], 'Phone': ['directly call phone numbers', 'read call log', 'read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Device ID & call information': ['read phone status and identity'], 'Microphone': ['record audio'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['access Bluetooth settings', 'change network connectivity', 'change your audio settings', 'close other apps', 'connect and disconnect from Wi-Fi', 'control vibration', 'create accounts and set passwords', 'disable your screen lock', 'draw over other apps', 'full network access', 'modify system settings', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'read sync settings', 'run at startup', 'send sticky broadcast', 'set wallpaper', 'toggle sync on and off', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['read sync statistics', 'read your social stream', 'receive data from Internet', 'write to your social stream']}",,,,,,,,,,,,,com.viber.voip,,,,,,,,
,"{None: None, 'Device & app history': ['read sensitive log data'], 'Contacts': ['read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['access USB storage filesystem', 'modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Microphone': ['record audio'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.playjoygame.pg,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Device ID & call information': ['read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Microphone': ['record audio'], 'Other': ['change your audio settings', 'control vibration', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.okta.android.auth,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['allow Wi-Fi Multicast reception', 'control vibration', 'draw over other apps', 'expand/collapse status bar', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.cg.moneybuster,,,,,,,,
,"{'Calendar': [""add or modify calendar events and send email to guests without owners' knowledge"", 'read calendar events plus confidential information'], 'Contacts': ['read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'SMS': ['read your text messages (SMS or MMS)', 'receive text messages (SMS)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['connect and disconnect from Wi-Fi', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet', 'update component usage statistics']}",,,,,,,,,,,,,com.pesoforrest.cash.app,,,,,,,,
,"{'Phone': ['directly call phone numbers', 'read phone status and identity'], 'Device & app history': ['retrieve running apps'], 'Calendar': [""add or modify calendar events and send email to guests without owners' knowledge"", 'read calendar events plus confidential information'], 'Camera': ['take pictures and videos'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['control flashlight', 'control vibration', 'draw over other apps', 'full network access', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet', 'update component usage statistics']}",,,,,,,,,,,,,com.shopback.app,,,,,,,,
,"{'Identity': ['find accounts on the device', 'read your own contact card'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Contacts': ['find accounts on the device', 'read your contacts'], 'Location': ['precise location (GPS and network-based)'], 'Microphone': ['record audio'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Camera': ['take pictures and videos'], 'Other': ['control Near Field Communication', 'control vibration', 'full network access', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'set wallpaper', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.pinterest,,,,,,,,
,"{'Camera': ['take pictures and videos'], 'Location': ['precise location (GPS and network-based)'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.adobe.lrmobile,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Contacts': ['find accounts on the device'], 'Device ID & call information': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Microphone': ['record audio'], 'Other': ['access Bluetooth settings', 'allow Wi-Fi Multicast reception', 'change network connectivity', 'change your audio settings', 'control Near Field Communication', 'control vibration', 'full network access', 'install shortcuts', 'pair with Bluetooth devices', 'prevent device from sleeping', 'run at startup', 'send sticky broadcast', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.spotify.music,,,,,,,,
,"{'Calendar': [""add or modify calendar events and send email to guests without owners' knowledge"", 'read calendar events plus confidential information'], 'Contacts': ['read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control flashlight', 'control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.paymaya,,,,,,,,
