Author,Authority,Category,Compatibility,Content_rating,Description,Detail,Developer_address,Developer_email,Developer_website,Icon,Installs,Item_name,Link,Package,Price,Rating,Review_number,Score,Similar,Size,Update,Version
,"{'Location': ['approximate location (network-based)'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.hagstrom.henrik.chess,,,,,,,,
,"{'Other': ['full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.axactapps.learn.autocad,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['close other apps', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.mcpeturk.dilsecici,,,,,,,,
,"{'Microphone': ['record audio'], 'Contacts': ['modify your contacts', 'read your contacts'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Photos/Media/Files': ['access USB storage filesystem', 'modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['connect and disconnect from Wi-Fi', 'full network access', 'modify system settings', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.th.ringtone.maker,,,,,,,,
,"{'Contacts': ['read your contacts'], 'Phone': ['directly call phone numbers'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.loadmanna.inc,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Location': ['access extra location provider commands', 'approximate location (network-based)', 'precise location (GPS and network-based)'], 'Device ID & call information': ['read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['change network connectivity', 'connect and disconnect from Wi-Fi', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.connecteasy.rocketvpnfree,,,,,,,,
,"{'Camera': ['take pictures and videos'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.transcrypt.armadillo,,,,,,,,
,"{None: None, 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'modify system settings', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.skc.smartkidzclub,,,,,,,,
,"{'Other': ['full network access', 'view network connections']}",,,,,,,,,,,,,com.highstarapp.coolfancytextgenerator,,,,,,,,
,"{'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Photos/Media/Files': ['read the contents of your USB storage'], 'Storage': ['read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.ncodders.linkmaster,,,,,,,,
,"{None: None, 'Contacts': ['read your contacts'], 'Location': ['approximate location (network-based)'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['Google Play license check', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['download files without notification', 'receive data from Internet']}",,,,,,,,,,,,,com.g5e.hiddencity.android,,,,,,,,
,"{'Device ID & call information': ['read phone status and identity'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['directly call phone numbers', 'read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Microphone': ['record audio'], 'Other': ['Google Play license check', 'change your audio settings', 'control vibration', 'create accounts and set passwords', 'full network access', 'install shortcuts', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read sync settings', 'run at startup', 'toggle sync on and off', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,ch.threema.app,,,,,,,,
,"{'Device & app history': ['retrieve running apps'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['allow Wi-Fi Multicast reception', 'change network connectivity', 'connect and disconnect from Wi-Fi', 'control vibration', 'full network access', 'prevent device from sleeping', 'reorder running apps', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.tenda.router.app,,,,,,,,
,"{'Camera': ['take pictures and videos'], 'Other': ['control flashlight', 'control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,app.real.flashlight,,,,,,,,
,{},,,,,,,,,,,,,com.handcent.plugin.emojihc,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.choicely.misssupranational,,,,,,,,
,"{'Other': ['full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.rrasoft.letreviewer,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Device ID & call information': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.XFun.Popsconnect,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.sinyee.babybus.firemanII,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.lyrebirdstudio.mirror,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['allow Wi-Fi Multicast reception', 'control vibration', 'full network access', 'prevent device from sleeping', 'set an alarm', 'view network connections']}",,,,,,,,,,,,,games.fatlion.building.mycraft.surfing.craft.free.simulator.jetski.games.surf.league,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Device ID & call information': ['read phone status and identity'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.otherguys.journeys,,,,,,,,
,"{'Identity': ['find accounts on the device'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Other': ['control flashlight', 'control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,tools.scanner.barcodescan,,,,,,,,
,"{None: None, 'Device & app history': ['retrieve running apps'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.drink.water.fun,,,,,,,,
,"{'Device & app history': ['read sensitive log data'], 'Identity': ['find accounts on the device', 'read your own contact card'], 'Contacts': ['find accounts on the device', 'read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'SMS': ['read your text messages (SMS or MMS)', 'receive text messages (SMS)'], 'Phone': ['read call log', 'read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['access Bluetooth settings', 'control vibration', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['bind to a notification listener service', 'receive data from Internet']}",,,,,,,,,,,,,com.armaniexchange.connected,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.adobe.spark.post,,,,,,,,
,"{'Device & app history': ['read sensitive log data'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.fungames.highway.traffic.race,,,,,,,,
,"{'Other': ['Google Play license check', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,games.dali.adventure.reborn,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.king.candycrushjellysaga,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Device ID & call information': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.AnderK.WheelScale,,,,,,,,
,"{'Location': ['approximate location (network-based)'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['allow Wi-Fi Multicast reception', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.superslimemultiplayer.techconsolidated,,,,,,,,
,"{'Identity': ['find accounts on the device'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Location': ['precise location (GPS and network-based)'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.primary.pplus,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.mobirix.jking2ani,,,,,,,,
,"{'Other': ['full network access', 'view network connections']}",,,,,,,,,,,,,com.down.move.films,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.dangfunproject.slowrocklegendsoffline,,,,,,,,
,"{None: None, 'Microphone': ['record audio'], 'Other': ['full network access', 'view network connections']}",,,,,,,,,,,,,com.miga.mytvshows,,,,,,,,
,"{None: None, 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['Google Play license check', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,wonderland.mermaid.free,,,,,,,,
,"{'Location': ['precise location (GPS and network-based)'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,app.melon.icompass,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.forqan.tech.Jobs,,,,,,,,
,"{'Contacts': ['read your contacts'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.linkedin.android.lite,,,,,,,,
,"{'Device & app history': ['retrieve running apps'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'disable your screen lock', 'full network access', 'prevent device from sleeping', 'read Google service configuration', 'set wallpaper', 'view network connections'], 'Uncategorized': ['Access all system downloads', 'Access download manager.', 'Advanced download manager functions.']}",,,,,,,,,,,,,com.jb.gokeyboard.theme.ztloveyou.getjar,,,,,,,,
,"{None: None, 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.hncgames.realcasino,,,,,,,,
,"{'Other': ['full network access', 'view network connections']}",,,,,,,,,,,,,org.undp.sdgpandas,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['change network connectivity', 'connect and disconnect from Wi-Fi', 'control vibration', 'full network access', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.luxury.bingo.slot,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Location': ['precise location (GPS and network-based)'], 'Microphone': ['record audio'], 'Device ID & call information': ['read phone status and identity'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Camera': ['take pictures and videos'], 'Other': ['Google Play license check', 'access Bluetooth settings', 'control vibration', 'draw over other apps', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'view network connections'], 'Uncategorized': ['Access all system downloads', 'Access download manager.', 'Advanced download manager functions.', 'receive data from Internet']}",,,,,,,,,,,,,com.wallwisher.Padlet,,,,,,,,
,"{'Other': ['full network access', 'view network connections']}",,,,,,,,,,,,,com.peterhohsy.ohmslaw,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.pavahainc.shapepicturesart,,,,,,,,
,"{'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Device ID & call information': ['read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['Google Play license check', 'full network access', 'prevent device from sleeping', 'run at startup', 'send sticky broadcast', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.deuscraft.TurboTeam,,,,,,,,
,"{None: None, 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['allow Wi-Fi Multicast reception', 'full network access', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.grand.theft.cheat.codes.five,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Location': ['approximate location (network-based)'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.Upperpik.HairChallenge,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Location': ['approximate location (network-based)'], 'Microphone': ['record audio'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,air.pool.billiards.v1d,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,in.idealcoder.Plagiarism,,,,,,,,
,{},,,,,,,,,,,,,com.hymnbook,,,,,,,,
,"{None: None, 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Microphone': ['record audio'], 'Other': ['full network access', 'modify system settings', 'prevent device from sleeping', 'view network connections']}",,,,,,,,,,,,,com.baviux.voicechanger,,,,,,,,
,"{'Camera': ['take pictures and videos'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.innov8lab.ph.android.trashcash,,,,,,,,
,"{None: None, 'Contacts': ['modify your contacts', 'read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['directly call phone numbers', 'read phone status and identity'], 'Photos/Media/Files': ['access USB storage filesystem', 'modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['access Bluetooth settings', 'allow Wi-Fi Multicast reception', 'change network connectivity', 'close other apps', 'connect and disconnect from Wi-Fi', 'control vibration', 'delete all app cache data', 'draw over other apps', 'full network access', 'install shortcuts', 'measure app storage space', 'modify system settings', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read battery statistics', 'run at startup', 'send sticky broadcast', 'view network connections'], 'Uncategorized': [""delete other apps' caches"", 'receive data from Internet']}",,,,,,,,,,,,,copydata.cloneit,,,,,,,,
,"{'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,co.benx.weply,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['full network access', 'prevent device from sleeping', 'set wallpaper', 'view network connections'], 'Uncategorized': ['adjust your wallpaper size', 'receive data from Internet']}",,,,,,,,,,,,,com.appsilicious.wallpapers,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,games.onebutton.golfbattle,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.autumn.skullgirls,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,org.asiafoundation.letsread,,,,,,,,
,"{'Microphone': ['record audio'], 'Other': ['change network connectivity', 'change your audio settings', 'draw over other apps', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.koushikdutta.inkwire,,,,,,,,
,"{'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.zipgradellc.android.zipgrade,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.united.resume.maker,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Device & app history': ['retrieve running apps'], 'Phone': ['read phone status and identity'], 'Device ID & call information': ['read phone status and identity'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['Google Play license check', 'control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['download files without notification', 'receive data from Internet']}",,,,,,,,,,,,,com.sega.sonicboomandroid,,,,,,,,
,"{None: None, 'Other': ['full network access', 'view network connections']}",,,,,,,,,,,,,com.alienzoneplus,,,,,,,,
,"{None: None, 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.tabtale.babycareanddressup,,,,,,,,
,"{'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Microphone': ['record audio'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['change your audio settings', 'control vibration', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.randonautica.app,,,,,,,,
,"{None: None, 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,br.com.tapps.myvirtualpetshop,,,,,,,,
,"{'Location': ['precise location (GPS and network-based)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['draw over other apps', 'full network access', 'view network connections']}",,,,,,,,,,,,,ph.com.zap.android,,,,,,,,
,"{'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['access Bluetooth settings', 'control vibration', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.sterling.sterling,,,,,,,,
,"{None: None, 'Identity': ['find accounts on the device'], 'Contacts': ['find accounts on the device'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.pixelberrystudios.choices,,,,,,,,
